Price,Close,High,Low,Open,Volume
Ticker,0050.TW,0050.TW,0050.TW,0050.TW,0050.TW
Date,,,,,
2009-01-02,20.76,20.76,20.76,20.76,0
2009-01-05,23.11,23.11,19.3,22.21,26338
2009-01-06,23.09,23.11,21.43,23.11,24377
2009-01-07,20.34,22.02,20.34,21.91,16672
2009-01-08,19.05,21.35,19.05,21.22,31357
2009-01-09,20.35,20.54,20.22,20.48,18391
2009-01-12,21.59,21.59,19.95,19.97,13977
2009-01-13,20.62,21.59,19.99,21.59,11554
2009-01-14,21.96,21.96,20.52,20.62,13520
2009-01-15,19.58,21.96,19.54,21.96,29872
2009-01-16,18.94,19.82,18.94,19.7,14165
2009-01-19,21.3,21.3,19.82,19.86,8872
2009-01-20,20.74,20.74,19.28,19.34,27774
2009-01-21,19.26,19.29,18.95,19.2,29100
2009-02-02,20.86,20.86,19.2,19.2,7841
2009-02-03,19.87,19.99,19.4,19.4,16223
2009-02-04,20.01,20.11,18.48,18.48,16252
2009-02-05,19.85,21.41,19.82,21.41,14257
2009-02-06,20.33,20.55,20.06,20.06,22990
2009-02-09,21.96,21.96,18.91,18.91,28135
2009-02-10,22.09,22.09,20.46,20.55,17374
2009-02-11,19.53,22.09,19.53,22.09,14060
2009-02-12,21.86,21.86,20.37,20.92,17087
2009-02-13,21.02,21.86,19.0,21.86,17924
2009-02-16,22.44,22.44,20.86,21.02,9781
2009-02-17,20.49,22.44,20.36,22.44,12662
2009-02-18,19.08,20.55,19.08,19.58,13810
2009-02-19,22.24,22.24,20.17,20.32,15551
2009-02-20,21.69,21.69,20.21,20.4,24878
2009-02-23,20.49,21.69,18.86,21.69,15467
2009-02-24,21.73,21.73,19.99,20.08,22044
2009-02-25,20.67,20.81,20.46,20.52,19672
2009-02-26,20.71,20.84,20.56,20.67,23652
2009-02-27,20.87,20.9,19.27,19.27,11089
2009-03-02,20.16,22.33,20.05,22.33,37820
2009-03-03,20.18,21.57,19.77,21.57,18194
2009-03-04,20.68,20.68,18.77,18.77,25616
2009-03-05,21.12,22.13,20.84,22.13,22365
2009-03-06,22.75,22.75,19.65,19.65,14037
2009-03-09,21.04,21.28,20.82,21.28,9851
2009-03-10,21.14,22.51,20.85,22.51,7245
2009-03-11,21.63,22.62,21.38,22.62,32167
2009-03-12,21.5,23.14,21.44,23.14,19076
2009-03-13,22.1,22.32,20.0,20.0,41024
2009-03-16,22.44,22.49,22.14,22.14,38765
2009-03-17,22.84,24.0,22.29,24.0,32108
2009-03-18,22.8,22.93,22.69,22.73,21639
2009-03-19,22.67,23.11,22.1,22.1,35387
2009-03-20,22.37,24.26,22.34,24.26,36163
2009-03-23,23.09,23.09,22.37,22.37,19379
2009-03-24,23.62,23.68,21.48,21.48,24953
2009-03-25,23.88,24.03,22.1,22.1,16178
2009-03-26,24.06,25.55,23.76,25.55,36731
2009-03-27,23.85,25.74,22.38,25.74,24824
2009-03-30,22.92,25.52,22.18,25.52,33667
2009-03-31,23.14,23.52,21.31,21.31,16970
2009-04-02,24.36,24.36,22.1,22.1,18580
2009-04-03,24.38,24.54,22.66,22.66,18259
2009-04-06,24.5,24.84,22.67,22.73,14735
2009-04-07,24.5,24.5,24.12,24.5,8691
2009-04-08,23.83,25.26,23.74,25.26,35566
2009-04-09,24.8,25.49,24.14,25.49,23992
2009-04-10,25.24,26.53,24.8,26.53,58881
2009-04-13,25.37,25.41,23.48,23.48,24796
2009-04-14,25.57,27.15,24.98,27.15,29021
2009-04-15,25.42,25.57,25.15,25.57,20582
2009-04-16,26.02,27.19,25.83,27.19,35606
2009-04-17,25.18,27.84,24.2,27.84,21658
2009-04-20,25.37,25.57,23.42,23.42,20721
2009-04-21,25.75,27.14,23.59,27.14,24244
2009-04-22,25.67,27.55,25.59,27.55,11713
2009-04-23,25.55,27.46,25.23,27.46,6195
2009-04-24,25.57,25.97,23.76,23.76,7974
2009-04-27,24.96,25.75,24.0,24.0,11356
2009-04-28,24.66,25.24,23.21,23.21,10837
2009-04-29,24.88,25.26,24.68,25.26,7085
2009-04-30,26.62,26.62,25.26,25.26,37253
2009-05-04,28.48,28.48,25.26,25.26,23126
2009-05-05,29.24,29.79,26.49,26.49,46744
2009-05-06,29.3,29.41,27.19,27.19,30850
2009-05-07,29.24,29.36,28.42,28.42,30796
2009-05-08,28.94,31.28,28.64,31.28,13548
2009-05-11,29.17,30.96,27.55,30.96,21608
2009-05-12,28.16,28.8,27.13,27.13,25325
2009-05-13,28.21,28.35,28.11,28.16,9823
2009-05-14,27.56,30.18,26.24,30.18,14934
2009-05-15,28.29,28.35,25.64,25.64,11728
2009-05-18,28.45,28.61,27.97,28.29,9661
2009-05-19,29.11,30.31,26.52,30.31,23190
2009-05-20,29.24,29.43,27.15,27.15,14834
2009-05-21,29.02,31.28,28.8,31.28,9357
2009-05-22,28.91,31.04,28.73,31.04,16655
2009-05-25,28.88,30.93,28.73,30.93,12501
2009-05-26,28.8,29.2,28.78,28.88,11136
2009-05-27,30.31,30.81,29.11,30.81,29596
2009-06-01,30.13,32.43,30.01,32.43,14068
2009-06-02,30.22,32.24,28.03,32.24,19937
2009-06-03,30.18,32.3,30.0,32.3,18407
2009-06-04,29.49,30.15,28.07,28.07,34959
2009-06-05,29.44,29.63,27.43,27.43,10613
2009-06-08,28.86,31.67,28.81,31.67,9560
2009-06-09,28.07,30.88,27.96,30.88,38499
2009-06-10,28.32,28.45,26.11,26.11,10697
2009-06-11,28.57,30.3,27.79,30.3,20275
2009-06-12,28.2,28.6,28.06,28.58,14826
2009-06-15,27.18,27.97,27.05,27.97,22771
2009-06-16,27.19,27.39,26.96,27.18,11181
2009-06-17,27.13,27.46,27.09,27.19,12815
2009-06-18,27.0,27.34,26.77,27.13,14345
2009-06-19,27.31,27.31,26.93,27.0,18651
2009-06-22,27.72,27.82,27.03,27.2,12217
2009-06-23,27.06,27.22,27.03,27.06,12060
2009-06-24,27.84,28.9,26.98,27.03,18135
2009-06-25,28.15,28.28,27.85,28.01,12167
2009-06-26,28.16,28.3,28.09,28.26,6748
2009-06-29,27.96,28.35,27.84,28.29,8156
2009-06-30,28.08,28.35,27.84,28.34,7955
2009-07-01,28.7,28.83,28.07,28.09,11807
2009-07-02,28.98,29.05,28.72,28.8,9696
2009-07-03,28.92,29.11,28.67,28.7,9034
2009-07-06,28.85,28.98,28.64,28.92,10655
2009-07-07,29.17,29.28,28.67,28.67,12640
2009-07-08,28.83,28.96,28.68,28.9,11628
2009-07-09,29.36,29.52,28.92,28.97,13022
2009-07-10,29.54,29.6,29.28,29.44,14006
2009-07-13,28.61,29.74,28.42,29.52,13175
2009-07-14,29.14,29.17,28.79,28.85,4032
2009-07-15,29.71,29.81,29.28,29.28,13117
2009-07-16,29.96,30.24,29.81,30.06,12515
2009-07-17,30.23,30.36,29.89,30.06,8421
2009-07-20,30.63,30.63,30.23,30.58,12396
2009-07-21,30.56,30.73,30.34,30.63,6910
2009-07-22,30.61,30.91,30.53,30.75,7364
2009-07-23,30.63,30.82,30.31,30.61,8015
2009-07-24,30.55,30.94,30.49,30.82,8481
2009-07-27,30.84,31.07,30.57,30.63,10494
2009-07-28,31.38,31.44,30.84,30.84,11919
2009-07-29,31.16,31.54,30.97,31.38,7475
2009-07-30,30.85,31.07,30.39,31.02,8126
2009-07-31,30.96,31.31,30.91,31.01,13193
2009-08-03,31.06,31.1,30.69,31.01,11864
2009-08-04,30.72,31.35,30.39,31.31,7507
2009-08-05,30.34,30.92,30.19,30.7,7443
2009-08-06,30.4,30.53,30.1,30.34,6615
2009-08-07,30.4,30.4,30.4,30.4,0
2009-08-10,30.48,30.59,30.25,30.31,7146
2009-08-11,30.58,30.63,30.15,30.5,7088
2009-08-12,30.47,30.6,30.31,30.44,5628
2009-08-13,31.17,31.21,30.56,0.0,13604000
2009-08-14,31.33,31.64,31.21,31.35,18374
2009-08-17,30.73,31.25,30.69,31.04,22528
2009-08-18,30.32,30.68,30.01,30.44,20933
2009-08-19,30.22,30.54,30.22,30.46,7718
2009-08-20,30.06,30.23,29.69,30.18,9275
2009-08-21,29.79,30.42,29.7,30.26,7152
2009-08-24,30.75,30.84,30.28,30.31,10230
2009-08-25,30.52,30.74,30.47,30.73,5037
2009-08-26,30.31,30.66,30.0,30.54,9350
2009-08-27,30.15,30.36,30.06,30.08,7689
2009-08-28,30.56,30.84,30.18,30.18,9252
2009-08-31,30.6,30.84,30.36,30.75,5266
2009-09-01,31.7,31.7,30.6,30.6,16921
2009-09-02,31.7,31.83,31.38,31.38,10369
2009-09-03,31.86,32.08,31.48,31.61,13149
2009-09-04,32.24,32.3,31.89,31.95,16901
2009-09-07,32.71,32.71,32.3,32.3,13422
2009-09-08,33.15,33.28,32.43,32.74,15584
